"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the validation of the title field","1218","verifyTitleFieldAndPublishButtonLogic","TestSuite","Thu Feb 12 15:18:25 UTC 2026","passed","Thu Feb 12 15:18:26 UTC 2026","org.greencity.ui.CreateNews.TitleValidationTest","UI Tests","org.greencity.ui.CreateNews.TitleValidationTest","verifyTitleFieldAndPublishButtonLogic"
"Stress test: verify that the content is truncated correctly to 63,206 symbols","1","verifyContentValidationAndPublishButtonLogic63206","TestSuite","Thu Feb 12 15:16:38 UTC 2026","unknown","Thu Feb 12 15:16:38 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","UI Tests","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogic63206"
"","0","setUp","TestSuite","Thu Feb 12 15:18:32 UTC 2026","broken","Thu Feb 12 15:18:32 UTC 2026","org.greencity.ui.CreateNews.UploadImageTest","UI Tests","org.greencity.ui.CreateNews.UploadImageTest","setUp"
"Verify that the Edit News form contains the particular fields in English locale","10334","verifyEditNewsFormFieldsVisibilityInEnglishLocale","TestSuite","Thu Feb 12 15:18:38 UTC 2026","passed","Thu Feb 12 15:18:49 UTC 2026","org.greencity.ui.EditNews.EditNewsFormVisibilityTestEN","UI Tests","org.greencity.ui.EditNews.EditNewsFormVisibilityTestEN","verifyEditNewsFormFieldsVisibilityInEnglishLocale"
"","2211","isUserLoggedIn","TestSuite","Thu Feb 12 15:19:04 UTC 2026","broken","Thu Feb 12 15:19:07 UTC 2026","org.greencity.ui.FirstTestWithUser","UI Tests","org.greencity.ui.FirstTestWithUser","isUserLoggedIn"
"Verify that clicking the Cancel button during editing triggers a confirmation modal, and selecting 'Yes, cancel' closes the editor","120885","CancelEditing","TestSuite","Thu Feb 12 15:18:54 UTC 2026","passed","Thu Feb 12 15:20:55 UTC 2026","org.greencity.ui.EditNews.CancelEditingTest","UI Tests","org.greencity.ui.EditNews.CancelEditingTest","CancelEditing"
"Verify that the Create News form contains the particular fields in Ukrainian locale","7270","verifyCreateNewsFormFieldsVisibilityInUkrainianLocale","TestSuite","Thu Feb 12 15:16:54 UTC 2026","passed","Thu Feb 12 15:17:02 UTC 2026","org.greencity.ui.CreateNews.CreateNewsFormVisibilityTestUA","UI Tests","org.greencity.ui.CreateNews.CreateNewsFormVisibilityTestUA","verifyCreateNewsFormFieldsVisibilityInUkrainianLocale"
"Verify that news can be published with empty Source field","8295","SourceFieldValidation","TestSuite","Thu Feb 12 15:18:18 UTC 2026","passed","Thu Feb 12 15:18:26 UTC 2026","org.greencity.ui.CreateNews.SourceValidationTest","UI Tests","org.greencity.ui.CreateNews.SourceValidationTest","SourceFieldValidation"
"","182","checkThreeTagsSelection","TestSuite","Thu Feb 12 15:19:43 UTC 2026","skipped","Thu Feb 12 15:19:44 UTC 2026","org.greencity.ui.TagSelectionTest","UI Tests","org.greencity.ui.TagSelectionTest","checkThreeTagsSelection"
"","1530","isLogin","TestSuite","Thu Feb 12 15:18:56 UTC 2026","broken","Thu Feb 12 15:18:58 UTC 2026","org.greencity.ui.FirstTest","UI Tests","org.greencity.ui.FirstTest","isLogin"
"Verify that the publish button is disabled and a warning is displayed when the content is shorter than 20 characters","172","verifyContentValidationAndPublishButtonLogic20","TestSuite","Thu Feb 12 15:17:09 UTC 2026","passed","Thu Feb 12 15:17:09 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","UI Tests","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogic20"
"Verify that the Edit News form contains the particular fields in Ukrainian locale","10027","verifyEditNewsFormFieldsVisibilityInUkrainianLocale","TestSuite","Thu Feb 12 15:18:44 UTC 2026","passed","Thu Feb 12 15:18:54 UTC 2026","org.greencity.ui.EditNews.EditNewsFormVisibilityTestUA","UI Tests","org.greencity.ui.EditNews.EditNewsFormVisibilityTestUA","verifyEditNewsFormFieldsVisibilityInUkrainianLocale"
"","867","checkFourTagsSelection","TestSuite","Thu Feb 12 15:19:11 UTC 2026","passed","Thu Feb 12 15:19:12 UTC 2026","org.greencity.ui.TagSelectionTest","UI Tests","org.greencity.ui.TagSelectionTest","checkFourTagsSelection"
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects to the EcoNews page","121416","testCancelButtonBehavior","TestSuite","Thu Feb 12 15:16:54 UTC 2026","passed","Thu Feb 12 15:18:55 UTC 2026","org.greencity.ui.CreateNews.CancelCreatingTest","UI Tests","org.greencity.ui.CreateNews.CancelCreatingTest","testCancelButtonBehavior"
"Verify validation logic for invalid Source field and successful publish after correction","31523","SourceFieldNonValidValidation","TestSuite","Thu Feb 12 15:17:46 UTC 2026","broken","Thu Feb 12 15:18:18 UTC 2026","org.greencity.ui.CreateNews.SourceValidationTest","UI Tests","org.greencity.ui.CreateNews.SourceValidationTest","SourceFieldNonValidValidation"
"The test checks validation when loading an image that is too large","235","imgUploadTooLargeNegative","TestSuite","Thu Feb 12 15:18:32 UTC 2026","skipped","Thu Feb 12 15:18:33 UTC 2026","org.greencity.ui.CreateNews.UploadImageTest","UI Tests","org.greencity.ui.CreateNews.UploadImageTest","imgUploadTooLargeNegative"
