"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the publish button is enabled and the warning disappears when the content is valid","1115","verifyContentValidationAndPublishButtonLogicValidContent","Surefire suite","Thu Feb 12 14:51:38 UTC 2026","passed","Thu Feb 12 14:51:40 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","Surefire test","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogicValidContent"
"Verify that the publish button is disabled and a warning is displayed when the content is shorter than 20 characters","155","verifyContentValidationAndPublishButtonLogic20","Surefire suite","Thu Feb 12 14:51:32 UTC 2026","passed","Thu Feb 12 14:51:33 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","Surefire test","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogic20"
"The test checks validation error when uploading a GIF image (unsupported format)","106","imgUploadGIFNegative","Surefire suite","Thu Feb 12 14:51:51 UTC 2026","passed","Thu Feb 12 14:51:51 UTC 2026","org.greencity.ui.CreateNews.UploadImageTest","Surefire test","org.greencity.ui.CreateNews.UploadImageTest","imgUploadGIFNegative"
"Verify the validation of the title field","1260","verifyTitleFieldAndPublishButtonLogic","Surefire suite","Thu Feb 12 14:52:08 UTC 2026","passed","Thu Feb 12 14:52:09 UTC 2026","org.greencity.ui.CreateNews.TitleValidationTest","Surefire test","org.greencity.ui.CreateNews.TitleValidationTest","verifyTitleFieldAndPublishButtonLogic"
"Verify that the 'Edit news' button is not visible for news created by other users","60302","verifyEditButtonNotVisibleToOtherUsers","Surefire suite","Thu Feb 12 14:47:29 UTC 2026","passed","Thu Feb 12 14:48:29 UTC 2026","org.greencity.ui.EditNews.EditNewsButtonVisibilityTest","Surefire test","org.greencity.ui.EditNews.EditNewsButtonVisibilityTest","verifyEditButtonNotVisibleToOtherUsers"
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects to the EcoNews page","120803","testCancelButtonBehavior","Surefire suite","Thu Feb 12 14:49:20 UTC 2026","passed","Thu Feb 12 14:51:21 UTC 2026","org.greencity.ui.CreateNews.CancelCreatingTest","Surefire test","org.greencity.ui.CreateNews.CancelCreatingTest","testCancelButtonBehavior"
"","1320","checkThreeTagsSelection","Surefire suite","Thu Feb 12 14:48:53 UTC 2026","passed","Thu Feb 12 14:48:55 UTC 2026","org.greencity.ui.TagSelectionTest","Surefire test","org.greencity.ui.TagSelectionTest","checkThreeTagsSelection"
"","1112","checkOneTagSelection","Surefire suite","Thu Feb 12 14:48:47 UTC 2026","passed","Thu Feb 12 14:48:48 UTC 2026","org.greencity.ui.TagSelectionTest","Surefire test","org.greencity.ui.TagSelectionTest","checkOneTagSelection"
"Stress test: verify that the content is truncated correctly to 63,206 symbols","1","verifyContentValidationAndPublishButtonLogic63206","Surefire suite","Thu Feb 12 14:44:47 UTC 2026","unknown","Thu Feb 12 14:44:47 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","Surefire test","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogic63206"
"Verify that news can be published with empty Source field","7354","SourceFieldValidation","Surefire suite","Thu Feb 12 14:49:07 UTC 2026","passed","Thu Feb 12 14:49:15 UTC 2026","org.greencity.ui.CreateNews.SourceValidationTest","Surefire test","org.greencity.ui.CreateNews.SourceValidationTest","SourceFieldValidation"
"The test checks validation when loading an image that is too large","124","imgUploadTooLargeNegative","Surefire suite","Thu Feb 12 14:52:02 UTC 2026","passed","Thu Feb 12 14:52:02 UTC 2026","org.greencity.ui.CreateNews.UploadImageTest","Surefire test","org.greencity.ui.CreateNews.UploadImageTest","imgUploadTooLargeNegative"
"Verify that the author can edit their own news and the changes are saved","5403","verifyAuthorCanEditOwnNews","Surefire suite","Thu Feb 12 14:47:12 UTC 2026","passed","Thu Feb 12 14:47:18 UTC 2026","org.greencity.ui.EditNews.EditOwnNewsTest","Surefire test","org.greencity.ui.EditNews.EditOwnNewsTest","verifyAuthorCanEditOwnNews"
"","1276","checkFourTagsSelection","Surefire suite","Thu Feb 12 14:48:40 UTC 2026","passed","Thu Feb 12 14:48:41 UTC 2026","org.greencity.ui.TagSelectionTest","Surefire test","org.greencity.ui.TagSelectionTest","checkFourTagsSelection"
"Verify that clicking the Cancel button during editing triggers a confirmation modal, and selecting 'Yes, cancel' closes the editor","120883","CancelEditing","Surefire suite","Thu Feb 12 14:45:06 UTC 2026","passed","Thu Feb 12 14:47:07 UTC 2026","org.greencity.ui.EditNews.CancelEditingTest","Surefire test","org.greencity.ui.EditNews.CancelEditingTest","CancelEditing"
"Verify that the 'Edit news' button is visible only to the author of the news","226","verifyEditButtonVisibleToAuthor","Surefire suite","Thu Feb 12 14:48:35 UTC 2026","passed","Thu Feb 12 14:48:35 UTC 2026","org.greencity.ui.EditNews.EditNewsButtonVisibilityTest","Surefire test","org.greencity.ui.EditNews.EditNewsButtonVisibilityTest","verifyEditButtonVisibleToAuthor"
"Verify that the content field validation fails for too short input and passes for valid content","379","verifyTooShortContent","Surefire suite","Thu Feb 12 14:51:45 UTC 2026","passed","Thu Feb 12 14:51:45 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","Surefire test","org.greencity.ui.CreateNews.ContentValidationTest","verifyTooShortContent"
"","2546","singInTest","Surefire suite","Thu Feb 12 14:44:47 UTC 2026","failed","Thu Feb 12 14:44:49 UTC 2026","org.greencity.api.OwnSecurityTest","Surefire test","org.greencity.api.OwnSecurityTest","singInTest"
