"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test checks validation error when uploading a GIF image (unsupported format)","100","imgUploadGIFNegative","TestSuite","Thu Feb 12 15:08:56 UTC 2026","passed","Thu Feb 12 15:08:56 UTC 2026","org.greencity.ui.CreateNews.UploadImageTest","UI Tests","org.greencity.ui.CreateNews.UploadImageTest","imgUploadGIFNegative"
"Verify that the Create News form contains the particular fields in English locale","8625","verifyCreateNewsFormFieldsVisibilityInEnglishLocale","TestSuite","Thu Feb 12 15:07:16 UTC 2026","passed","Thu Feb 12 15:07:24 UTC 2026","org.greencity.ui.CreateNews.CreateNewsFormVisibilityTestEN","UI Tests","org.greencity.ui.CreateNews.CreateNewsFormVisibilityTestEN","verifyCreateNewsFormFieldsVisibilityInEnglishLocale"
"Verify that the Edit News form contains the particular fields in Ukrainian locale","13006","verifyEditNewsFormFieldsVisibilityInUkrainianLocale","TestSuite","Thu Feb 12 15:09:12 UTC 2026","passed","Thu Feb 12 15:09:25 UTC 2026","org.greencity.ui.EditNews.EditNewsFormVisibilityTestUA","UI Tests","org.greencity.ui.EditNews.EditNewsFormVisibilityTestUA","verifyEditNewsFormFieldsVisibilityInUkrainianLocale"
"Verify that the publish button is enabled and the warning disappears when the content is valid","31113","verifyContentValidationAndPublishButtonLogicValidContent","TestSuite","Thu Feb 12 15:07:31 UTC 2026","broken","Thu Feb 12 15:08:03 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","UI Tests","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogicValidContent"
"","1185","checkFourTagsSelection","TestSuite","Thu Feb 12 15:09:42 UTC 2026","passed","Thu Feb 12 15:09:43 UTC 2026","org.greencity.ui.TagSelectionTest","UI Tests","org.greencity.ui.TagSelectionTest","checkFourTagsSelection"
"","1195","checkThreeTagsSelection","TestSuite","Thu Feb 12 15:09:50 UTC 2026","passed","Thu Feb 12 15:09:51 UTC 2026","org.greencity.ui.TagSelectionTest","UI Tests","org.greencity.ui.TagSelectionTest","checkThreeTagsSelection"
"Verify validation logic for invalid Source field and successful publish after correction","31689","SourceFieldNonValidValidation","TestSuite","Thu Feb 12 15:08:10 UTC 2026","broken","Thu Feb 12 15:08:42 UTC 2026","org.greencity.ui.CreateNews.SourceValidationTest","UI Tests","org.greencity.ui.CreateNews.SourceValidationTest","SourceFieldNonValidValidation"
"","1696","signInTest","TestSuite","Thu Feb 12 15:11:26 UTC 2026","passed","Thu Feb 12 15:11:28 UTC 2026","org.greencity.api.OwnSecurityTest","API Tests","org.greencity.api.OwnSecurityTest","signInTest"
"Verify that the Preview page displays the correct news title, content, author name, and creation date, and that the 'Back to Create News' button redirects correctly","927","checkPreviewPage","TestSuite","Thu Feb 12 15:09:04 UTC 2026","failed","Thu Feb 12 15:09:05 UTC 2026","org.greencity.ui.CreateNews.PreviewPageTest","UI Tests","org.greencity.ui.CreateNews.PreviewPageTest","checkPreviewPage"
"Verify that the publish button is disabled and a warning is displayed when the content is shorter than 20 characters","260","verifyContentValidationAndPublishButtonLogic20","TestSuite","Thu Feb 12 15:07:30 UTC 2026","passed","Thu Feb 12 15:07:30 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","UI Tests","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogic20"
